Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners
Region A,Country 1,9/22/2021,0012E00002b5a1J,Active,28-Sep-2021,,1/13/2022 8:44 AM,2
Region A,Country 8,9/16/2021,0012E00002b5Zvf,Active,4-Oct-2021,,1/13/2022 1:26 PM,4
Region C,Country 16,10/1/2021,0012E00002b8A7b,Active,1-Oct-2021,,,1
Region C,Country 16,10/1/2021,0012E00002b8Ail,Active,1-Oct-2021,,,1
Region C,Country 16,10/1/2021,0012E00002b8AMp,Active,1-Oct-2021,,,1
Region C,Country 16,10/1/2021,0012E00002b8APP,Active,1-Oct-2021,,,1
Region A,Country 8,9/7/2021,0012E00002bavkB,Active,17-Sep-2021,,,2
Region D,Country 14,9/13/2021,0012E00002bbtWm,Active,12-Oct-2021,,,1
Region D,Country 11,12/12/2021,0012E00002bbtXz,Active,18-Dec-2021,,12/19/2021 2:56 AM,2
Region D,Country 11,11/17/2021,0012E00002bbu3W,Active,18-Dec-2021,,1/10/2022 7:56 PM,1
Region C,Country 16,9/3/2021,0012E00002bbuWl,Churned,7-Sep-2021,,,0
Region C,Country 16,9/7/2021,0012E00002bbuXP,Active,8-Sep-2021,,,3
Region B,Country 9,9/24/2021,0012E00002bbvv3,Blocked,27-Sep-2021,,,0
Region A,Country 1,10/21/2021,0012E00002bbw0F,Active,2-Nov-2021,,,3
Region D,Country 5,9/24/2021,0012E00002bbyjk,Churned,5-Oct-2021,,,3
Region D,Country 11,9/30/2021,0012E00002bbz0R,Active,13-Oct-2021,,,2
Region B,Country 28,9/11/2021,0012E00002bbz4A,Onboarding,,,,
Region C,Country 16,11/30/2021,0012E00002bbz6P,Active,30-Nov-2021,,11/30/2021 6:12 AM,1
Region C,Country 3,9/9/2021,0012E00002bbzvm,Active,15-Sep-2021,,,0
Region B,Country 4,10/15/2021,0012E00002bc0l9,Active,24-Nov-2021,,1/10/2022 1:59 AM,2
Region C,Country 16,10/20/2021,0012E00002bc0lJ,Active,21-Oct-2021,,1/13/2022 11:23 AM,4
Region A,Country 1,9/2/2021,0012E00002bc2Hj,Churned,1-Sep-2021,Core,,0
Region D,Country 11,9/16/2021,0012E00002bc2sP,Active,27-Sep-2021,,,2
Region B,Country 2,9/10/2021,0012E00002bc3hi,Blocked,15-Sep-2021,,,1
Region D,Country 5,9/4/2021,0012E00002bc3vV,Active,13-Sep-2021,,,2
Region B,Country 2,11/18/2021,0012E00002bc4Hq,Churned,24-Nov-2021,,11/23/2021 2:32 AM,2
Region C,Country 16,11/16/2021,0012E00002bc7MF,Active,16-Nov-2021,,11/18/2021 3:46 AM,1
Region B,Country 19,9/2/2021,0012E00002bc7t9,Blocked,3-Sep-2021,Core,,3
Region B,Country 4,10/22/2021,0012E00002bc94W,Onboarding,,,,1
Region D,Country 25,11/17/2021,0012E00002bc9iD,Onboarding,,,,0
Region A,Country 8,9/1/2021,0012E00002bcA5C,Active,13-Oct-2021,Core,,2
Region C,Country 16,9/22/2021,0012E00002bcb0O,Active,29-Oct-2021,,,2
Region C,Country 16,10/22/2021,0012E00002bcB57,Active,25-Oct-2021,,1/12/2022 12:45 PM,4
Region D,Country 11,9/20/2021,0012E00002bcbsg,Onboarding,,,,1
Region D,Country 11,9/20/2021,0012E00002bcbsM,Onboarding,,,,1
Region D,Country 11,9/20/2021,0012E00002bcbsN,Onboarding,,,,
Region D,Country 15,12/2/2021,0012E00002bccdD,Onboarding,,,,2
Region D,Country 5,9/1/2021,0012E00002bccPV,Active,7-Sep-2021,Premium,,1
Region D,Country 14,9/8/2021,0012E00002bccvq,Active,5-Jan-2022,,1/4/2022 6:17 PM,0
Region D,Country 14,10/3/2021,0012E00002bcD9z,Active,23-Oct-2021,,,2
Region B,Country 2,9/16/2021,0012E00002bcdox,Blocked,17-Sep-2021,,,1
Region C,Country 16,9/7/2021,0012E00002bceDI,Active,8-Sep-2021,,1/14/2022 4:25 AM,3
Region B,Country 2,11/12/2021,0012E00002bceFt,Active,19-Nov-2021,,11/28/2021 9:20 PM,1
Region C,Country 16,11/12/2021,0012E00002bceUC,Active,15-Nov-2021,,,2
Region C,Country 16,9/1/2021,0012E00002bcey2,Active,2-Sep-2021,Premium,1/10/2022 8:31 AM,3
Region A,Country 1,12/1/2021,0012E00002bcf5g,Active,30-Nov-2021,,,
Region D,Country 14,11/18/2021,0012E00002bcfuq,Active,13-Dec-2021,,1/15/2022 1:19 AM,2
Region A,Country 1,9/29/2021,0012E00002bcGEP,Onboarding,,,,1
Region B,Country 19,9/4/2021,0012E00002bcgKo,Blocked,29-Sep-2021,,,2
Region A,Country 1,12/1/2021,0012E00002bcGMs,Active,30-Nov-2021,,,1
Region D,Country 5,9/8/2021,0012E00002bcgOg,Active,13-Sep-2021,,1/15/2022 4:45 AM,3
Region B,Country 2,9/1/2021,0012E00002bcgTi,Active,2-Sep-2021,Core,,2
Region A,Country 1,11/29/2021,0012E00002bcGVG,Active,6-Dec-2021,,1/6/2022 8:17 PM,3
Region D,Country 11,11/15/2021,0012E00002bcGvO,Active,23-Nov-2021,,12/14/2021 7:03 PM,1
Region B,Country 17,9/9/2021,0012E00002bchFm,Onboarding,,,,0
Region C,Country 16,11/11/2021,0012E00002bcHpg,Active,16-Nov-2021,,1/15/2022 3:09 AM,3
Region C,Country 16,9/14/2021,0012E00002bchQo,Active,15-Sep-2021,,1/11/2022 11:25 AM,4
Region C,Country 16,11/23/2021,0012E00002bchtW,Active,23-Nov-2021,,12/29/2021 5:46 AM,2
Region D,Country 5,11/30/2021,0012E00002bcHXb,Onboarding,,,,
Region C,Country 16,9/7/2021,0012E00002bciEc,Active,8-Sep-2021,,1/10/2022 4:40 AM,5
Region B,Country 9,9/22/2021,0012E00002bcIfI,Active,27-Sep-2021,,,2
Region C,Country 16,10/29/2021,0012E00002bcIOv,Active,1-Nov-2021,,11/16/2021 1:46 AM,3
Region C,Country 16,12/31/2021,0012E00002bcIP5,Onboarding,,,,
Region D,Country 11,9/22/2021,0012E00002bcirg,Active,4-Oct-2021,,,2
Region A,Country 8,9/14/2021,0012E00002bciU7,Active,24-Sep-2021,,1/11/2022 7:47 PM,4
Region A,Country 8,9/28/2021,0012E00002bciXG,Onboarding,,,,3
Region D,Country 11,9/5/2021,0012E00002bcj5v,Churned,14-Sep-2021,,,1
Region C,Country 16,11/22/2021,0012E00002bcjeT,Active,22-Nov-2021,,,2
Region C,Country 16,11/16/2021,0012E00002bck14,Active,17-Nov-2021,,11/17/2021 7:45 AM,1
Region A,Country 1,9/3/2021,0012E00002bcKIf,Active,2-Sep-2021,Core,12/22/2021 1:30 PM,0
Region D,Country 11,10/3/2021,0012E00002bcKpK,Active,17-Oct-2021,,11/23/2021 5:40 PM,3
Region A,Country 6,11/30/2021,0012E00002bcKtH,Onboarding,,,,
Region C,Country 16,10/28/2021,0012E00002bckxB,Active,4-Nov-2021,,,1
Region B,Country 4,9/9/2021,0012E00002bcl3O,Onboarding,,,,
Region B,Country 2,9/15/2021,0012E00002bcl4H,Active,18-Sep-2021,,11/22/2021 7:33 AM,1
Region C,Country 16,11/4/2021,0012E00002bcLIt,Active,4-Nov-2021,,1/13/2022 12:31 AM,3
Region B,Country 2,10/29/2021,0012E00002bcLXR,Blocked,3-Nov-2021,,,0
Region B,Country 2,9/20/2021,0012E00002bcLXt,Active,22-Sep-2021,,,2
Region A,Country 8,9/29/2021,0012E00002bcmAH,Onboarding,,,,1
Region B,Country 2,10/25/2021,0012E00002bcMdX,Blocked,26-Oct-2021,,,1
Region D,Country 20,9/2/2021,0012E00002bcmE4,Active,8-Sep-2021,Core,,2
Region D,Country 11,10/3/2021,0012E00002bcmIL,Active,12-Oct-2021,,11/22/2021 6:31 PM,3
Region A,Country 8,10/1/2021,0012E00002bcmjI,Churned,13-Oct-2021,,12/18/2021 8:36 PM,0
Region C,Country 16,10/4/2021,0012E00002bcMMW,Active,4-Oct-2021,,,0
Region C,Country 3,9/29/2021,0012E00002bcMW7,Active,30-Sep-2021,,,1
Region D,Country 11,9/14/2021,0012E00002bcnA9,Active,7-Oct-2021,,1/2/2022 8:17 PM,3
Region D,Country 11,9/21/2021,0012E00002bcnB2,Churned,20-Oct-2021,,,1
Region A,Country 6,9/13/2021,0012E00002bcnI4,Churned,20-Sep-2021,,,1
Region B,Country 9,9/11/2021,0012E00002bcnke,Blocked,30-Sep-2021,,,0
Region B,Country 4,9/10/2021,0012E00002bco0N,Churned,12-Sep-2021,,,0
Region D,Country 14,9/20/2021,0012E00002bcO9f,Onboarding,,,,
Region D,Country 11,9/29/2021,0012E00002bcOfv,Active,9-Oct-2021,,,2
Region C,Country 16,12/16/2021,0012E00002bcoGj,Active,20-Dec-2021,,12/20/2021 5:28 AM,1
Region B,Country 4,9/18/2021,0012E00002bcoIC,Onboarding,,,,
Region C,Country 16,11/10/2021,0012E00002bcoLG,Active,11-Nov-2021,,,1
Region D,Country 11,9/30/2021,0012E00002bcORe,Active,12-Oct-2021,,1/9/2022 10:22 PM,3
Region D,Country 15,9/2/2021,0012E00002bcOys,Active,10-Sep-2021,Core,,0
Region B,Country 9,9/6/2021,0012E00002bcPb2,Onboarding,,,,
Region B,Country 17,9/30/2021,0012E00002bcPBY,Blocked,1-Oct-2021,,,3
Region C,Country 16,9/13/2021,0012E00002bcPek,Churned,14-Sep-2021,,,2
